area_feasible,area_alone,proportion,convex,feasibility,distance,detection,parameter,vero_model,trcy_model,environment
85945.0720935472,150579.18066204994,0.570763313465204,0,1,0.8224925525050599,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86221.63619933478,150579.18066204994,0.5725999824161946,0,1,0.47840529187052216,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85832.1754234708,150579.18066204994,0.5700135639342262,0,1,0.12997385707598408,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86058.39652881771,150579.18066204994,0.5715159037952368,0,1,0.2852306963867268,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86105.52952041567,150579.18066204994,0.57182891513844325,0,1,0.28040099567420773,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85675.7521463786,150579.18066204994,0.5689747531477386,0,1,3.3239662236494305,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86422.13496438699,150579.18066204994,0.573931499589888,0,1,2.180034362607427,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85958.85908334804,150579.18066204994,0.5708548731996921,0,1,0.14490948893377364,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86070.75946467274,150579.18066204994,0.5715980063528457,0,1,3.537326502096165,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86297.97420411166,150579.18066204994,0.5731069449620209,0,1,1.1057531678207364,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85920.51229785183,150579.18066204994,0.5706002112648375,0,1,0.9293405732836937,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86339.91334137172,150579.18066204994,0.5733854637922846,0,0,-0.42372412031969775,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85864.75212656772,150579.18066204994,0.5702299066115717,0,1,0.6126792009718292,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85645.40829011262,150579.18066204994,0.5687732388604875,0,0,-1.8325571006828874,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85745.09693394217,150579.18066204994,0.5694352735680164,0,1,1.1750336131331642,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85974.67822447175,150579.18066204994,0.5709599285005255,0,1,1.9813120036768501,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85781.25743648627,150579.18066204994,0.569675416344628,0,1,1.0916065032734121,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85668.60710532288,150579.18066204994,0.568927302756361,0,1,0.3144593571768919,1,lambda_i,Beverton-Holt,Beverton-Holt,open
